tax_code,major_class_code,major_class_type,av,eav,pins_in_majorclass,parcel_count_in_majorclass,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,total_bill
10002,1,Vacant,103542,310906,6,6,29066.58,0,0,29066.58,29066.58,0,0,0,0,29066.58
10002,2,Residential,4190302,12525327,71,71,1113056.59,0,57936.12264585333,1170992.71,1113056.59,0,0,0,0,1113056.59
10002,5A,Commercial,16572,49761,1,1,4652.15,0,0,4652.15,4652.15,0,0,0,0,4652.15
10002,NA,NA,0,0,24,24,0,0,0,0,0,0,0,0,0,0
10003,1,Vacant,61205,183780,3,3,14755.69,0,0,14755.69,14755.69,0,0,0,0,14755.69
10003,2,Residential,56544,169785,1,1,12829.15,0,802.899956471858,13632.05,12829.15,0,0,0,0,12829.15
10003,NA,NA,0,0,12,12,0,0,0,0,0,0,0,0,0,0
10004,NA,NA,0,0,11,11,0,0,0,0,0,0,0,0,0,0
10005,2,Residential,89366,268339,1,1,23408.09,0,906.0999240740465,24314.190000000002,23408.09,0,0,0,0,23408.09
10012,1,Vacant,159113,477768,11,11,38374.36,0,0,38374.36,38374.36,0,0,0,0,38374.36
10012,2,Residential,6148885,18463259,111,111,1389773.6600000001,0,93195.21031234745,1482968.86,1389773.6600000001,0,0,0,0,1389773.6600000001
10012,NA,NA,0,0,3,3,0,0,0,0,0,0,0,0,0,0
10019,0,Exempt and Railroad,NA,NA,NA,2,0,0,0,0,0,0,0,0,NA,0
10021,1,Vacant,262141,787138,82,82,64647.61,0,0,64647.61,64647.61,0,0,0,0,64647.61
10021,2,Residential,55366097,166247770,1553,1362,12551171.35,0,1102757.299207488,13653928.57,12551171.35,0,0,0,0,12551171.35
10021,3,Multi-Family,971682,2917670,15,15,239628.24,0,0,239628.24,239628.24,0,0,0,0,239628.24
10021,4,Not For Profit,1541976,4630091,1,1,380269.35000000003,0,0,380269.35000000003,380269.35000000003,0,0,0,0,380269.35000000003
10021,5A,Commercial,24560236,73747019,111,93,6056842.03,0,0,6056842.03,6056842.03,0,0,0,0,6056842.03
10021,5B,Industrial,3366027,10107170,9,9,830101.8099999999,0,0,830101.8099999999,830101.8099999999,0,0,0,0,830101.8099999999
10021,9,Multi-Family Incentive,232843,699158,1,1,57421.83,0,0,57421.83,57421.83,0,0,0,0,57421.83
10021,NA,NA,0,0,104,99,0,0,0,0,0,0,0,0,0,0
10030,1,Vacant,326,979,1,1,90.64,0,0,90.64,90.64,0,0,0,0,90.64
10030,2,Residential,151872,456026,3,3,37960.21,0,4258.679831144575,42218.89,37960.21,0,0,0,0,37960.21
10035,1,Vacant,1821878,5470558,96,96,487754.81,0,0,487754.81,487754.81,0,0,0,0,487754.81
10035,2,Residential,53243620,159668491,796,796,13753523.1,0,482518.01396127034,14236041.08,13753523.1,0,0,0,0,13753523.1
10035,NA,NA,0,0,139,139,0,0,0,0,0,0,0,0,0,0
10038,1,Vacant,138528,415958,7,7,35348.049999999996,0,0,35348.049999999996,35348.049999999996,0,0,0,0,35348.049999999996
10038,5A,Commercial,3613343,10849785,8,8,922014.0800000001,0,0,922014.0800000001,922014.0800000001,0,0,0,0,922014.0800000001
10038,NA,NA,0,0,4,4,0,0,0,0,0,0,0,0,0,0
10039,1,Vacant,58527,175739,6,6,17057.23,0,0,17057.23,17057.23,0,0,0,0,17057.23
10039,2,Residential,4927331,14795297,100,100,1361106.15,0,74925.16952447232,1436031.32,1361106.15,0,0,0,0,1361106.15
10039,NA,NA,0,0,3,3,0,0,0,0,0,0,0,0,0,0
10040,NA,NA,0,0,2,2,0,0,0,0,0,0,0,0,0,0
10041,1,Vacant,1339861,4023193,229,229,333320.27,0,0,333320.27,333320.27,0,0,0,0,333320.27
10041,2,Residential,94202355,282800016,1292,1292,22313938.1,0,1116041.8717516235,23429979.93,22313938.1,0,0,0,0,22313938.1
10041,5A,Commercial,6836434,20527758,40,14,1700724.66,0,0,1700724.66,1700724.66,0,0,0,0,1700724.66
